,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
369,Darren Helm\helmda01,35,COL,C,52,5,5,10,-3,8,0.3,4,0,1,0,4,0,1,74,6.8,539,10:21,18,87,51,68,42.9
370,Adam Henrique\henriad01,31,ANA,C,44,14,17,31,-1,8,3.3,10,4,0,0,13,4,0,107,13.1,755,17:10,39,19,184,148,55.4
371,Aleksi Heponiemi\heponal01,23,FLA,C,4,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,5,0,51,12:40,1,0,2,3,40
372,Tomas Hertl\hertlto01,28,SJS,C,65,26,28,54,-1,20,6.1,22,4,0,5,18,10,0,175,14.9,1291,19:52,46,87,619,529,53.9
373,Thomas Hickey\hicketh01,32,NYI,D,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,39,19:29,3,2,0,0,
374,Matthew Highmore\highmma01,25,VAN,LW,39,4,6,10,0,12,0.6,3,1,0,0,6,0,0,48,8.3,492,12:37,35,38,1,2,33.3
375,Cameron Hillis\hillica01,21,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10:15,0,0,2,2,50
376,Vinnie Hinostroza\hinosvi01,27,BUF,C,45,10,11,21,-8,16,1.9,9,1,0,1,11,0,0,69,14.5,631,14:01,8,13,10,12,45.5
377,Roope Hintz\hintzro01,25,DAL,LW,62,28,27,55,18,20,7,19,7,2,6,13,13,1,168,16.7,1120,18:04,38,59,268,248,51.9
378,Taro Hirose\hirosta01,25,DET,LW,6,1,2,3,-2,4,0.2,0,1,0,0,1,1,0,2,50,68,11:18,2,3,1,0,100
379,Nico Hischier\hischni01,23,NJD,C,56,18,29,47,-3,17,4.5,14,4,0,1,20,8,1,121,14.9,1065,19:01,42,39,585,512,53.3
380,Hayden Hodgson\hodgsha01,25,PHI,RW,2,1,1,2,2,0,0.3,1,0,0,0,1,0,0,7,14.3,33,16:27,1,5,0,0,
381,Mike Hoffman\hoffmmi02,32,MTL,C,50,11,13,24,-17,24,1.5,8,3,0,3,6,7,0,117,9.4,862,17:15,21,19,6,5,54.5
382,Gregory Hofmann\hofmagr01,29,CBJ,C,24,2,5,7,6,8,0.6,2,0,0,2,5,0,0,33,6.1,300,12:30,10,23,0,8,0
383,Nils Hoglander\hoglani01,21,VAN,LW,60,10,8,18,-7,24,1.3,9,1,0,0,6,2,0,132,7.6,787,13:07,16,41,0,1,0
